"Source:","/home/danjovic/Área de Trabalho/ZX97 lite/CP297s/CP297s/CP297s.sch"
"Date:","Sáb 12 Out 2019 20:35:22 -03"
"Tool:","Eeschema 5.1.0-unknown-ef3f773~82~ubuntu14.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","126"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_CR2032H","~"
"","","C1","22p","CP297s:C-CP297s","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"","","C2","22p","CP297s:C-CP297s","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"","","C3","1uF","CP297s:CAPAPOL-CP297s","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C4","47n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C5","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C6","100u","CP297s:CAPAPOL-CP297s","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C7","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C8","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C9","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C10","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C11","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C12","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C13","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C14","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C15","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C16","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C17","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C18","47n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C19","1uF","CP297s:CAPAPOL-CP297s","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C20","10n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C21","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C22","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C23","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C24","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C25","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C26","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C27","100n","CP297s:C-CP297s","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C28","1uF","CP297s:CAPAPOL-CP297s","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C29","1uF","CP297s:CAPAPOL-CP297s","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","D1","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"","","D2","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D3","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D4","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D5","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D6","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D7","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D8","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D9","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D10","BAT41","Diode:BAT41","Diode_THT:D_A-405_P7.62mm_Horizontal","http://www.vishay.com/docs/85659/bat41.pdf"
"","","D11","BAT41","Diode:BAT41","Diode_THT:D_A-405_P7.62mm_Horizontal","http://www.vishay.com/docs/85659/bat41.pdf"
"","","D12","4148","CP297s:DIODE-CP297s","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"","","J1","Conn_01x05_Male","CP297s:Conn_01x05_Male-Connector","CP297s:CP200S_FONTE","~"
"","","J2","Conn_01x04_Female","CP297s:Conn_01x04_Female-Connector","CP297s:CP200S_VIDEO","~"
"","","J3","pin header 01x15 2.54mm","CP297s:Conn_01x15_Male-Connector","CP297s:CP200s_Keyboard","~"
"","","J4","Conn_01x06_Female","CP297s:Conn_01x06_Female-Connector","CP297s:CP200S_JOYSTICK","~"
"","","J5","PG203J","Connector_Specialized:Audio-Jack-3_2Switches","CP297s:PG203J","~"
"","","J6","PG203J","Connector_Specialized:Audio-Jack-3_2Switches","CP297s:PG203J","~"
"","","J7","PG203J","Connector_Specialized:Audio-Jack-3_2Switches","CP297s:PG203J","~"
"","","J8","Conn_01x03_Female","Connector_Generic:Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","K1","CONN_3","CP297s:CONN_3-CP297s","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"","","K2","CONN_3","CP297s:CONN_3-CP297s","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"","","K3","TK85_BUS","CP297s:TK85_BUS-CP297s","CP297s:ZX81_EDGE",""
"","","P2","CONN_2","CP297s:CONN_2-CP297s","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"","","P6","CONN_2","CP297s:CONN_2-CP297s","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"","","R1","20M","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"","","R2","2k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"","","R3","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R4","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R5","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R6","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R7","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R8","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R9","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R10","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R11","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R12","1k","CP297s:R-CP297s","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
